objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,143331.00068503935,771136.3191535892,126950.92260447917,778894.7842926463
ForceBalance,max_abs,27911.13901906385,168225.11586964264,23168.58467831608,168558.00025958224
ForceBalance,mean_abs,4402.4892813583565,23971.771282420574,4063.5577343490368,23995.64407385568
ForceBalance,rms,5961.783678743825,32075.042381925687,5280.462250089164,32397.751988480202
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.417557467927418,1.368222101081032,0.4135840115116911,1.3762419647627628
QuasisymmetryBoozer,max_abs,0.38705291249144275,0.8161859855951011,0.3852902504024962,0.8177372491135215
QuasisymmetryBoozer,mean_abs,0.004599400376244251,0.02659311462574997,0.004397102438170578,0.02719739360589208
QuasisymmetryBoozer,rms,0.025318140368091224,0.08296065061855322,0.025077214184255476,0.0834469262812419
QuasisymmetryBoozer,status,ok,ok,ok,ok
