objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142718.84447052906,771136.3191535892,127099.16218861371,778894.7842926463
ForceBalance,max_abs,27777.36548947421,168225.11586964264,23162.18464252065,168558.00025958224
ForceBalance,mean_abs,4386.593638427736,23971.771282420574,4068.2474983518573,23995.64407385568
ForceBalance,rms,5936.321336954076,32075.042381925687,5286.628203923388,32397.751988480202
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.41754278834714176,1.368222101081032,0.4135632028692022,1.3762419647627628
QuasisymmetryBoozer,max_abs,0.3869588477460921,0.8161859855951011,0.38529463272148073,0.8177372491135215
QuasisymmetryBoozer,mean_abs,0.004603316128828714,0.02659311462574997,0.004393899592243557,0.02719739360589208
QuasisymmetryBoozer,rms,0.025317250287796828,0.08296065061855322,0.025075952474977434,0.0834469262812419
QuasisymmetryBoozer,status,ok,ok,ok,ok
