objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142798.1207104199,771136.3191535892,124711.88664244078,778894.7842926463
ForceBalance,max_abs,27762.217988757697,168225.11586964264,23017.365435847332,168558.00025958224
ForceBalance,mean_abs,4386.410655486638,23971.771282420574,3995.829862382122,23995.64407385568
ForceBalance,rms,5939.618793825475,32075.042381925687,5187.33063173164,32397.751988480202
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.4175948152680313,1.368222101081032,0.41438158200439934,1.3762419647627628
QuasisymmetryBoozer,max_abs,0.3869570898945741,0.8161859855951011,0.3852192903876268,0.8177372491135215
QuasisymmetryBoozer,mean_abs,0.004607326617916143,0.02659311462574997,0.004450847735079846,0.02719739360589208
QuasisymmetryBoozer,rms,0.025320404883240995,0.08296065061855322,0.025125573998745362,0.0834469262812419
QuasisymmetryBoozer,status,ok,ok,ok,ok
